pair	ts	bucket	amp_1h	amp_4h	amp_12h	amp_24h
BTC/USDT	2023-01-01 00:00:00+00:00	[0.50,0.75)	0.00225838024925117	0.0031100395927773613	0.004443519005562108	0.007871341935476114
BTC/USDT	2023-01-02 00:00:00+00:00	[0.00,0.05)	0.0036827423970451556	0.009543949118200458	0.013442190334817607	0.015080703705977675
BTC/USDT	2023-01-03 00:00:00+00:00	[0.50,0.75)	0.001954258017192232	0.0032792701226850443	0.007609680558818504	0.010374766879371918
BTC/USDT	2023-01-04 00:00:00+00:00	[0.10,0.25)	0.004339906986566335	0.015497439490873817	0.015978584832763005	0.020350288207259603
BTC/USDT	2023-01-05 00:00:00+00:00	[0.25,0.50)	0.004178339053890204	0.004178339053890204	0.005777683423510201	0.007520535890070409
BTC/USDT	2023-01-06 00:00:00+00:00	[0.10,0.25)	0.002775942465740471	0.004192433655450479	0.009666482871389177	0.02150880078334815
BTC/USDT	2023-01-07 00:00:00+00:00	[0.50,0.75)	0.0023756768465649186	0.002694401193681789	0.004362391943592865	0.004362391943592865
BTC/USDT	2023-01-08 00:00:00+00:00	[0.00,0.05)	0.0021592893406407374	0.0021592893406407374	0.0033442723950288696	0.0162545683516283
BTC/USDT	2023-01-09 00:00:00+00:00	[0.75,1.00]	0.005494953542771413	0.008616953859631063	0.010532091367436122	0.017132559201513436
BTC/USDT	2023-01-10 00:00:00+00:00	[0.75,1.00]	0.0033044338414989455	0.0051588502269288876	0.00812754567671362	0.02052019085301989
BTC/USDT	2023-01-11 00:00:00+00:00	[0.25,0.50)	0.0046814218722132424	0.00822503399378668	0.00822503399378668	0.039249848454522965
BTC/USDT	2023-01-12 00:00:00+00:00	[0.75,1.00]	0.021355572454019013	0.02627692496246593	0.02627692496246593	0.0682432375970386
BTC/USDT	2023-01-13 00:00:00+00:00	[0.75,1.00]	0.009180011703346765	0.009180011703346765	0.018244264351202445	0.08660051762351974
BTC/USDT	2023-01-14 00:00:00+00:00	[0.75,1.00]	0.05465273451268898	0.05465273451268898	0.05465273451268898	0.05465273451268898
BTC/USDT	2023-01-15 00:00:00+00:00	[0.75,1.00]	0.016311430512981274	0.01975928976009683	0.01975928976009683	0.023864247944058878
BTC/USDT	2023-01-16 00:00:00+00:00	[0.50,0.75)	0.02279305389152849	0.03200302536853748	0.036984747897110704	0.04123881383369842
BTC/USDT	2023-01-17 00:00:00+00:00	[0.75,1.00]	0.02116612554875738	0.02116612554875738	0.02116612554875738	0.03789893929606716
BTC/USDT	2023-01-18 00:00:00+00:00	[0.75,1.00]	0.007663417657919684	0.012988931776498753	0.012988931776498753	0.05885483925196551
BTC/USDT	2023-01-19 00:00:00+00:00	[0.75,1.00]	0.004380262767525237	0.0076538820561184925	0.010401676849491307	0.025703169660409097
BTC/USDT	2023-01-20 00:00:00+00:00	[0.50,0.75)	0.005102411466323615	0.009764190339985053	0.017013736056328783	0.09171520510070219
BTC/USDT	2023-01-21 00:00:00+00:00	[0.75,1.00]	0.008391541950828096	0.008391541950828096	0.038373512189512717	0.039973148486472286
BTC/USDT	2023-01-22 00:00:00+00:00	[0.75,1.00]	0.009591200681908702	0.01651929776019992	0.01651929776019992	0.03442552831939032
BTC/USDT	2023-01-23 00:00:00+00:00	[0.75,1.00]	0.007308640277269017	0.007936392479140634	0.015742737978258814	0.029976930988255653
BTC/USDT	2023-01-24 00:00:00+00:00	[0.75,1.00]	0.004532716940784453	0.009534876726575478	0.01709521669560187	0.03047978627927972
BTC/USDT	2023-01-25 00:00:00+00:00	[0.75,1.00]	0.009587684511909795	0.0183334761518164	0.020848553808262213	0.06699497249492699
BTC/USDT	2023-01-26 00:00:00+00:00	[0.75,1.00]	0.010448289776063002	0.010448289776063002	0.018723189808793776	0.018723189808793776
BTC/USDT	2023-01-27 00:00:00+00:00	[0.25,0.50)	0.006693779133931478	0.022410098996236805	0.024525340146313537	0.04188472586709042
BTC/USDT	2023-01-28 00:00:00+00:00	[0.75,1.00]	0.006344752673506749	0.006344752673506749	0.012319908103896736	0.013471212192197546
BTC/USDT	2023-01-29 00:00:00+00:00	[0.10,0.25)	0.011563423984383793	0.022801509777978502	0.027748564032036384	0.04318038088925203
BTC/USDT	2023-01-30 00:00:00+00:00	[0.50,0.75)	0.004621304187063149	0.009164366741248636	0.034589532194959596	0.05405234870024239
BTC/USDT	2023-01-31 00:00:00+00:00	[0.25,0.50)	0.007140853645421601	0.008732489698919113	0.012381488737177681	0.02656662682455437
BTC/USDT	2023-02-01 00:00:00+00:00	[0.75,1.00]	0.005321963644362982	0.008105926562964258	0.011473616657529653	0.04557358989615027
BTC/USDT	2023-02-02 00:00:00+00:00	[0.75,1.00]	0.022974971997421767	0.022974971997421767	0.02515910987001826	0.037592381106553954
BTC/USDT	2023-02-03 00:00:00+00:00	[0.75,1.00]	0.006319432956237335	0.007577550700108989	0.01135996335085202	0.021678989094333453
BTC/USDT	2023-02-04 00:00:00+00:00	[0.25,0.50)	0.003263488916614013	0.005724991881868435	0.009023516945531709	0.014263130009741744
BTC/USDT	2023-02-05 00:00:00+00:00	[0.25,0.50)	0.005120880637200391	0.005130736725456071	0.008713210543614765	0.02958240611111761
BTC/USDT	2023-02-06 00:00:00+00:00	[0.25,0.50)	0.004996456567957734	0.011822454489723971	0.02029495267453021	0.023048395020934465
BTC/USDT	2023-02-07 00:00:00+00:00	[0.75,1.00]	0.004031858608793974	0.006184550240429772	0.01350001972533564	0.026022977824339235
BTC/USDT	2023-02-08 00:00:00+00:00	[0.50,0.75)	0.009465032084307622	0.00975801785019011	0.013758284592003376	0.03382243169581114
BTC/USDT	2023-02-09 00:00:00+00:00	[0.25,0.50)	0.003162850189814672	0.02811015780269921	0.02811015780269921	0.057112099949551264
